,YEAR,SPECIAL,LARGE,PRICE,GB_64,GB_128,GB_256,GB_512,GB_1024
31,2016,0,0,649.0,0,0,0,0,0
32,2016,0,0,749.0,0,1,0,0,0
33,2016,0,0,849.0,0,0,1,0,0
34,2016,0,1,769.0,0,0,0,0,0
35,2016,0,1,869.0,0,1,0,0,0
36,2016,0,1,969.0,0,0,1,0,0
37,2017,0,0,699.0,1,0,0,0,0
38,2017,0,0,849.0,0,0,1,0,0
39,2017,0,1,799.0,1,0,0,0,0
40,2017,0,1,949.0,0,0,1,0,0
43,2018,1,0,999.0,1,0,0,0,0
44,2018,1,0,1149.0,0,0,1,0,0
45,2018,1,0,1349.0,0,0,0,1,0
46,2018,1,1,1099.0,1,0,0,0,0
47,2018,1,1,1249.0,0,0,1,0,0
48,2018,1,1,1449.0,0,0,0,1,0
52,2019,0,0,699.0,1,0,0,0,0
53,2019,0,0,749.0,0,1,0,0,0
54,2019,0,0,849.0,0,0,1,0,0
55,2019,1,0,849.0,1,0,0,0,0
56,2019,1,0,1149.0,0,0,1,0,0
57,2019,1,0,1349.0,0,0,0,1,0
58,2019,1,1,1099.0,1,0,0,0,0
59,2019,1,1,1249.0,0,0,1,0,0
60,2019,1,1,1449.0,0,0,0,1,0
61,2020,0,0,799.0,1,0,0,0,0
62,2020,0,0,849.0,0,1,0,0,0
63,2020,0,0,949.0,0,0,1,0,0
64,2020,1,0,949.0,0,1,0,0,0
65,2020,1,0,1099.0,0,0,1,0,0
66,2020,1,0,1299.0,0,0,0,1,0
70,2020,1,1,1099.0,0,1,0,0,0
71,2020,1,1,1199.0,0,0,1,0,0
72,2020,1,1,1399.0,0,0,0,1,0
76,2021,0,0,799.0,0,1,0,0,0
77,2021,0,0,899.0,0,0,1,0,0
78,2021,0,0,1099.0,0,0,0,1,0
79,2021,1,0,999.0,0,1,0,0,0
80,2021,1,0,1099.0,0,0,1,0,0
81,2021,1,0,1299.0,0,0,0,1,0
82,2021,1,0,1499.0,0,0,0,0,1
83,2021,1,1,1099.0,0,1,0,0,0
84,2021,1,1,1199.0,0,0,1,0,0
85,2021,1,1,1399.0,0,0,0,1,0
86,2021,1,1,1599.0,0,0,0,0,1
87,2022,0,0,799.0,0,1,0,0,0
88,2022,0,0,899.0,0,0,1,0,0
89,2022,0,0,999.0,0,0,0,1,0
90,2022,0,1,899.0,0,1,0,0,0
91,2022,0,1,999.0,0,0,1,0,0
92,2022,0,1,1099.0,0,0,0,1,0
93,2022,1,0,999.0,0,1,0,0,0
94,2022,1,0,1099.0,0,0,1,0,0
95,2022,1,0,1299.0,0,0,0,1,0
96,2022,1,0,1499.0,0,0,0,0,1
97,2022,1,1,1099.0,0,1,0,0,0
98,2022,1,1,1199.0,0,0,1,0,0
99,2022,1,1,1399.0,0,0,0,1,0
100,2022,1,1,1599.0,0,0,0,0,1
101,2023,0,0,799.0,0,1,0,0,0
102,2023,0,0,899.0,0,0,1,0,0
103,2023,0,0,1099.0,0,0,0,1,0
104,2023,0,1,899.0,0,1,0,0,0
105,2023,0,1,999.0,0,0,1,0,0
106,2023,0,1,1199.0,0,0,0,1,0
107,2023,1,0,999.0,0,1,0,0,0
108,2023,1,0,1099.0,0,0,1,0,0
109,2023,1,0,1299.0,0,0,0,1,0
110,2023,1,0,1499.0,0,0,0,0,1
111,2023,1,1,1199.0,0,0,1,0,0
112,2023,1,1,1399.0,0,0,0,1,0
113,2023,1,1,1599.0,0,0,0,0,1
